# binaries
exename,path,args,pid,generation,ppid,pgid,sid,numtids,tid,start,end,rdtsc_duration,PERF_COUNT_SW_CPU_CLOCK
dotprod_mutex,/Users/phil/Work/papiex-oss/papiex/x86_64-Linux/tests/dotprod_mutex,,1655,0,192,1,1,5,1655,1543854361633743,1543854361690681,181478748,45059599
,,,,,,,,,1656,1543854361666815,1543854361674956,25920235,3617945
,,,,,,,,,1657,1543854361669614,1543854361675107,17476411,2699723
,,,,,,,,,1658,1543854361672462,1543854361677146,14853563,3219109
,,,,,,,,,1659,1543854361672606,1543854361676403,12064484,3597643
