tags,hostname,exename,path,args,exitcode,pid,generation,ppid,pgid,sid,numtids,tid,start,end,usertime,systemtime,rssmax,minflt,majflt,inblock,outblock,vol_ctxsw,invol_ctxsw,num_threads,starttime,processor,delayacct_blkio_time,guest_time,rchar,wchar,syscr,syscw,read_bytes,write_bytes,cancelled_write_bytes,time_oncpu,time_waiting,timeslices,rdtsc_duration,PERF_COUNT_SW_CPU_CLOCK
pp053,ln,/bin/ln,-s /vftmp/Jeffrey.Durachta/job615503/ESM4/DECK/ESM4_historical_D151/gfdl.ncrc4-intel16-prod-openmp/ESM4_historical_D151_18540101/18540101.nc/18540101.atmos_month.tile2.nc .,0,5652,0,6854,6845,6840,1,5652,1560022666888622,1560022666888774,3999,999,3676,1399,0,0,8,5,0,0,1198694400000,0,0,0,38562,176,70,1,0,4096,0,5901085,116271,6,503917,146691
op:rm;op_instance:7;op_sequence:709,pp053,tcsh,/bin/tcsh,-f /home/fms/local/opt/fre-nctools/bronx-15/share/bin/list_ncvars.csh -st3 modellevels.nc,0,30597,0,6854,6845,6840,1,30597,1560022411966499,1560022412041023,7998,3999,4280,1762,0,0,16,22,1,0,1292943360000,0,0,0,48253,234,86,2,0,8192,4096,12766815,61223,24,257665180,5672608
